s,AgentsInside,AgentsInsideMesh,ExitCounter,ExitCounter,ExitCounter,ExitCounter,TargetExitCounter,TargetExitCounter,TargetExitCounter,TargetExitCounter,Agents,FED_Index,FED_Index
EVAC_Time,AllAgents,MainEvacGrid,Exit1,Exit2,Exit3,Exit4,Exit1,Exit2,Exit3,Exit4,Number_of_Deads,FED_max,FED_max_alive
 6.50000E+001,      33,      33,       0,       0,      31,      16,       0,       0,      12,       0,       0, 1.32285E-004, 1.32285E-004
 6.60000E+001,      33,      33,       0,       0,      31,      16,       0,       0,      13,       0,       0, 1.42120E-004, 1.42120E-004
 6.70000E+001,      33,      33,       0,       0,      31,      16,       0,       0,      14,       0,       0, 1.56682E-004, 1.56682E-004
 6.80000E+001,      33,      33,       0,       0,      31,      16,       0,       0,      15,       0,       0, 1.74530E-004, 1.74530E-004
 6.90000E+001,      33,      33,       0,       0,      31,      16,       0,       0,      15,       0,       0, 1.93338E-004, 1.93338E-004
 7.00000E+001,      33,      33,       0,       0,      31,      16,       0,       0,      16,       0,       0, 2.13651E-004, 2.13651E-004
 7.10000E+001,      32,      32,       0,       0,      32,      16,       0,       0,      15,       0,       0, 2.33964E-004, 2.33964E-004
 7.20000E+001,      32,      32,       0,       0,      32,      16,       0,       0,      15,       0,       0, 2.45862E-004, 2.45862E-004
 7.30000E+001,      32,      32,       0,       0,      32,      16,       0,       0,      17,       0,       0, 2.51756E-004, 2.51756E-004
 7.40000E+001,      32,      32,       0,       0,      32,      16,       0,       0,      16,       0,       0, 2.51756E-004, 2.51756E-004
 7.50000E+001,      32,      32,       0,       0,      32,      16,       0,       0,      17,       0,       0, 2.51756E-004, 2.51756E-004
 7.60000E+001,      32,      32,       0,       0,      32,      16,       0,       0,      20,       0,       0, 2.51756E-004, 2.51756E-004
 7.70000E+001,      32,      32,       0,       0,      32,      16,       0,       0,      20,       0,       0, 2.51756E-004, 2.51756E-004
 7.80000E+001,      32,      32,       0,       0,      32,      16,       0,       0,      20,       0,       0, 2.51756E-004, 2.51756E-004
 7.90000E+001,      32,      32,       0,       0,      32,      16,       0,       0,      20,       0,       0, 2.51756E-004, 2.51756E-004
 8.00000E+001,      32,      32,       0,       0,      32,      16,       0,       0,      21,       0,       0, 2.51756E-004, 2.51756E-004
 8.10000E+001,      32,      32,       0,       0,      32,      16,       0,       0,      18,       0,       0, 2.51756E-004, 2.51756E-004
 8.20000E+001,      32,      32,       0,       0,      32,      16,       0,       0,      19,       0,       0, 2.51756E-004, 2.51756E-004
 8.30000E+001,      32,      32,       0,       0,      32,      16,       0,       0,      20,       0,       0, 2.51756E-004, 2.51756E-004
 8.40000E+001,      31,      31,       0,       0,      33,      16,       0,       0,      19,       0,       0, 2.51756E-004, 2.51756E-004
 8.50000E+001,      31,      31,       0,       0,      33,      16,       0,       0,      20,       0,       0, 2.51756E-004, 2.51756E-004
 8.60000E+001,      30,      30,       0,       0,      34,      16,       0,       0,      19,       0,       0, 2.51756E-004, 2.51756E-004
 8.70000E+001,      30,      30,       0,       0,      34,      16,       0,       0,      19,       0,       0, 2.51756E-004, 2.51756E-004
 8.80000E+001,      29,      29,       0,       0,      35,      16,       0,       0,      18,       0,       0, 2.51756E-004, 2.51756E-004
 8.90000E+001,      28,      28,       0,       0,      36,      16,       0,       0,      17,       0,       0, 2.51756E-004, 2.51756E-004
 9.00000E+001,      27,      27,       0,       0,      37,      16,       0,       0,      16,       0,       0, 2.51756E-004, 2.51756E-004
 9.10000E+001,      26,      26,       0,       0,      38,      16,       0,       0,      15,       0,       0, 2.51756E-004, 2.51756E-004
